epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8115.65,0.84907,0.48647,1.07263,0.77143,0.77686,0.82351,0.48802,1.4178,0.86042,1.4628,0.00147386,0.00147386,0.00147386
81,8215.6,0.82846,0.47204,1.0634,0.77976,0.77678,0.82479,0.4866,1.42592,0.86292,1.47101,0.0014672,0.0014672,0.0014672
82,8315.86,0.82756,0.4725,1.06092,0.77039,0.78499,0.82328,0.4866,1.42064,0.86851,1.47461,0.00146054,0.00146054,0.00146054
83,8416.07,0.82815,0.47024,1.06169,0.76564,0.78665,0.81805,0.48497,1.41787,0.87053,1.46488,0.00145388,0.00145388,0.00145388
84,8515.84,0.8167,0.46898,1.05459,0.78426,0.76436,0.81797,0.48237,1.41723,0.87091,1.46598,0.00144722,0.00144722,0.00144722
85,8616.03,0.81562,0.46646,1.05359,0.77446,0.7701,0.81547,0.48306,1.41688,0.87535,1.47278,0.00144056,0.00144056,0.00144056
86,8715.92,0.80646,0.46144,1.05147,0.78587,0.75734,0.81333,0.48447,1.41213,0.88208,1.47528,0.0014339,0.0014339,0.0014339
87,8816.05,0.80303,0.45803,1.04635,0.76237,0.77151,0.81215,0.48393,1.40746,0.88245,1.47004,0.00142724,0.00142724,0.00142724
88,8916.01,0.78804,0.44595,1.03758,0.77761,0.75709,0.81027,0.48356,1.40739,0.88739,1.48081,0.00142058,0.00142058,0.00142058
89,9016.18,0.78945,0.4477,1.04309,0.77407,0.76629,0.81102,0.48477,1.40588,0.88308,1.48346,0.00141392,0.00141392,0.00141392
90,9116.15,0.78617,0.44591,1.03625,0.77015,0.76971,0.81611,0.48722,1.39836,0.87939,1.47413,0.00140726,0.00140726,0.00140726
91,9216.38,0.78148,0.43937,1.03569,0.77652,0.76041,0.81382,0.48773,1.4007,0.87691,1.47928,0.0014006,0.0014006,0.0014006
92,9316.61,0.77872,0.43653,1.03282,0.75861,0.77483,0.81266,0.48637,1.40472,0.87599,1.48015,0.00139394,0.00139394,0.00139394
93,9416.95,0.76582,0.433,1.02671,0.7643,0.76893,0.81075,0.48736,1.40568,0.87488,1.48742,0.00138728,0.00138728,0.00138728
94,9516.85,0.76331,0.43095,1.02454,0.76654,0.76767,0.81104,0.48791,1.39992,0.87424,1.48599,0.00138062,0.00138062,0.00138062
95,9617.09,0.75727,0.4307,1.01948,0.76363,0.772,0.81004,0.48676,1.4023,0.87398,1.49012,0.00137396,0.00137396,0.00137396
96,9716.99,0.75549,0.42836,1.02135,0.76027,0.7784,0.80964,0.48696,1.40224,0.87628,1.48956,0.0013673,0.0013673,0.0013673
97,9817.04,0.74373,0.41794,1.01332,0.76512,0.77154,0.80922,0.48639,1.40222,0.87647,1.49424,0.00136064,0.00136064,0.00136064
98,9916.99,0.73803,0.41514,1.01071,0.76702,0.77248,0.80924,0.48949,1.40081,0.87437,1.49633,0.00135398,0.00135398,0.00135398
99,10020.4,0.73595,0.41909,1.01141,0.77084,0.77151,0.80945,0.49032,1.40178,0.87596,1.49988,0.00134732,0.00134732,0.00134732
100,10123.8,0.72917,0.41297,1.00389,0.76815,0.77282,0.80715,0.49073,1.40133,0.87702,1.50073,0.00134066,0.00134066,0.00134066
101,10227.2,0.72604,0.41085,1.00257,0.76334,0.7703,0.80617,0.48942,1.39991,0.87682,1.50196,0.001334,0.001334,0.001334
102,10327.5,0.72578,0.40908,1.0018,0.79735,0.74263,0.80453,0.48788,1.40177,0.87599,1.50692,0.00132734,0.00132734,0.00132734
103,10427.7,0.72271,0.40637,0.99895,0.79155,0.74335,0.80329,0.48696,1.40256,0.88098,1.51066,0.00132068,0.00132068,0.00132068
