epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,14452.1,0.93316,0.56252,1.41219,0.79406,0.76769,0.81939,0.48399,1.45483,0.89173,1.918,0.00135398,0.00135398,0.00135398
99,14601.5,0.92954,0.56399,1.40758,0.78553,0.76341,0.81991,0.48491,1.45364,0.88569,1.91721,0.00134732,0.00134732,0.00134732
100,14751,0.92769,0.55789,1.40706,0.7854,0.77241,0.82167,0.48383,1.45184,0.88449,1.91609,0.00134066,0.00134066,0.00134066
101,14897.1,0.92076,0.55721,1.40249,0.78088,0.77087,0.81924,0.48426,1.45136,0.87858,1.9163,0.001334,0.001334,0.001334
102,15043.3,0.92545,0.55653,1.40476,0.7799,0.77752,0.81996,0.48643,1.44921,0.87623,1.91537,0.00132734,0.00132734,0.00132734
103,15192.1,0.91533,0.55482,1.39096,0.77845,0.77442,0.82221,0.4872,1.45035,0.87817,1.91922,0.00132068,0.00132068,0.00132068
104,15341.3,0.91392,0.55182,1.39528,0.79179,0.76644,0.81991,0.48591,1.44814,0.8766,1.91896,0.00131402,0.00131402,0.00131402
105,15487.5,0.89677,0.54319,1.3783,0.78557,0.7734,0.81917,0.48563,1.44752,0.8799,1.92277,0.00130736,0.00130736,0.00130736
106,15633.8,0.90388,0.54276,1.38448,0.78391,0.77822,0.81925,0.48368,1.45372,0.88013,1.93409,0.0013007,0.0013007,0.0013007
107,15780.2,0.90677,0.54707,1.38506,0.79528,0.75772,0.81902,0.48385,1.45348,0.8838,1.93625,0.00129404,0.00129404,0.00129404
108,15926.4,0.89183,0.53587,1.37098,0.78451,0.76945,0.81867,0.48531,1.45282,0.88723,1.93933,0.00128738,0.00128738,0.00128738
109,16072.8,0.88502,0.53743,1.36751,0.7762,0.77669,0.81782,0.48587,1.45055,0.8907,1.94129,0.00128072,0.00128072,0.00128072
110,16219.2,0.88112,0.53547,1.36486,0.77513,0.78058,0.81835,0.48578,1.4485,0.88901,1.9426,0.00127406,0.00127406,0.00127406
